gnome-shell-extensions	46.1-2	all
gnome-startup-applications	46.0-1ubuntu4	arm64
gnome-sudoku	1:46.0-1build1	arm64
gnome-sushi	46.0-1	arm64
gnome-system-monitor	46.0-1build1	arm64
gnome-terminal	3.52.0-1ubuntu2	arm64
gnome-terminal-data	3.52.0-1ubuntu2	all
gnome-text-editor	46.3-0ubuntu2	arm64
gnome-themes-extra	3.28-2ubuntu5	arm64
gnome-themes-extra-data	3.28-2ubuntu5	all
gnome-tweaks	46.0-2	all
gnome-user-docs	46.0-1ubuntu1	all
gnome-user-docs-de	46.0-1ubuntu1	all
gnome-user-docs-es	46.0-1ubuntu1	all
gnome-user-docs-fr	46.0-1ubuntu1	all
gnome-user-docs-it	46.0-1ubuntu1	all
gnome-user-docs-pt	46.0-1ubuntu1	all
gnome-user-docs-ru	46.0-1ubuntu1	all
gnome-user-docs-zh-hans	46.0-1ubuntu1	all
gnome-user-share	43.0-1build2	arm64
gnome-video-effects	0.6.0-1ubuntu1	all
gnupg	2.4.4-2ubuntu17.6	all
gnupg-l10n	2.4.4-2ubuntu17.6	all
gnupg-utils	2.4.4-2ubuntu17.6	arm64
golang-1.22-go	1.22.2-2ubuntu0.4	arm64
golang-1.22-src	1.22.2-2ubuntu0.4	all
golang-go	2:1.22~2build1	arm64
golang-src	2:1.22~2build1	all
google-chrome-stable	152.0.7977.82-1	arm64
gparted	1.5.0-1build4	arm64
gparted-common	1.5.0-1build4	all
gpg	2.4.4-2ubuntu17.6	arm64
gpg-agent	2.4.4-2ubuntu17.6	arm64
gpg-wks-client	2.4.4-2ubuntu17.6	arm64
gpgconf	2.4.4-2ubuntu17.6	arm64
gpgsm	2.4.4-2ubuntu17.6	arm64
gpgv	2.4.4-2ubuntu17.6	arm64
grep	3.11-4build1	arm64
grilo-plugins-0.3-base	0.3.16-1.1ubuntu6.1~24.04.1	arm64
groff-base	1.23.0-3build2	arm64
grub-common	2.12-1ubuntu7.3	arm64
grub-efi-arm64	2.12-1ubuntu7.3	arm64
grub-efi-arm64-bin	2.12-1ubuntu7.3	arm64
grub-efi-arm64-signed	1.202.5+2.12-1ubuntu7.3	arm64
grub2-common	2.12-1ubuntu7.3	arm64
gsettings-desktop-schemas	46.1-0ubuntu1	all
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3	all
gstreamer1.0-alsa	1.24.2-1ubuntu0.4	arm64
gstreamer1.0-clutter-3.0	3.0.27-4build1	arm64
gstreamer1.0-gl	1.24.2-1ubuntu0.4	arm64
gstreamer1.0-gtk3	1.24.2-1ubuntu1.5	arm64
